policy,entry_utc,exit_utc,entry_index,exit_index,level,support,entry,exit,initial_stop,risk_price,risk_pct,net_pct,net_r,cost_r,reason,score_signal_utc,hold_minutes
fixed,2026-09-10T19:53:59.204079+00:00,2026-09-10T20:21:18.826874+00:00,3817,3843,prior_1h,2459.31,2459.46,2467.39,2455.582142857143,3.8778571428570103,0.15767107994669605,0.20242850056516393,1.283865757966478,0.7610780622582688,target,,27.327046585083007
fixed,2026-09-10T23:56:34.852035+00:00,2026-09-11T00:10:17.380937+00:00,4048,4061,prior_1h,2434.65,2437.05,2447.68,2432.1653571428574,4.884642857142808,0.2004326073384956,0.31618309021151714,1.5775032536374387,0.598704979162103,target,,13.708815042177836
fixed,2026-09-11T07:57:11.106960+00:00,2026-09-11T08:30:47.025172+00:00,4505,4537,prior_1h,2464.44,2467.0,2477.4,2462.107857142857,4.8921428571429715,0.19830331808443338,0.30156465342522154,1.5207241933128754,0.6051335961454085,target,,33.5986368616422
fixed,2026-09-11T12:09:15.412881+00:00,2026-09-11T12:12:24.836042+00:00,4745,4748,prior_1h,2451.87,2450.5,2453.77,2449.2707142857143,1.229285714285652,0.05016468942198131,0.013442154662311023,0.2679604880883195,2.392120859965258,target,,3.1570526878039042
fixed,2026-09-12T04:21:13.182019+00:00,2026-09-12T06:42:24.448097+00:00,5651,5783,prior_1h,2508.73,2509.69,2515.27,2507.187142857143,2.5028571428570103,0.0997277409902024,0.10233821707062785,1.0261760273972855,1.203276027397324,target,,141.18776797850927
fixed,2026-09-12T11:16:59.291802+00:00,2026-09-12T11:43:37.408957+00:00,6040,6065,prior_1h,2530.1,2530.39,2534.99,2528.3399999999997,2.050000000000182,0.08101517947826943,0.06179015882926475,0.7626985365852539,1.4812039024388928,target,,26.635285917917887
fixed,2026-09-12T15:39:31.400810+00:00,2026-09-12T17:22:29.126954+00:00,6290,6390,prior_4h,2530.74,2534.09,2527.0,2528.9746428571425,5.115357142857647,0.20186169957884867,-0.39978485373447714,-1.9804888919917343,0.5944664106680975,stop,,102.96210239728292
fixed,2026-09-12T19:53:59.033029+00:00,2026-09-12T20:16:26.796859+00:00,6538,6560,prior_1h,2515.75,2516.45,2521.59,2514.0782142857142,2.371785714285579,0.09425125531147369,0.08425599554929619,0.8939509110075674,1.2731925914772595,target,,22.462730487187702
fixed,2026-09-13T10:44:53.932740+00:00,2026-09-13T13:24:01.021527+00:00,7414,7570,prior_1h,2472.74,2473.81,2467.91,2469.4421428571427,4.367857142857247,0.17656396986257017,-0.3584985103949022,-2.030417138184764,0.6796403597710385,stop,,159.118146443367
fixed,2026-09-13T15:30:43.974848+00:00,2026-09-13T16:11:38.245211+00:00,7694,7734,prior_1h,2483.99,2487.03,2499.59,2481.278571428571,5.751428571429187,0.2312569036734252,0.38502004398820244,1.66490183805247,0.5189034277197656,target,,40.90450605948766
fixed,2026-09-13T19:32:14.921750+00:00,2026-09-13T19:33:16.331759+00:00,7930,7931,prior_1h,2505.25,2505.05,2502.9,2503.2132142857145,1.8367857142857247,0.07332331547417116,-0.20582663020698655,-2.8071102469376186,1.6365872059109376,stop,,1.0235001524289449
fixed,2026-09-16T08:28:20.678288+00:00,2026-09-16T08:55:04.831724+00:00,8510,8535,prior_1h,2384.58,2386.21,2397.8,2381.8107142857143,4.399285714285725,0.18436288986659702,0.36570746078508976,1.9836283812307478,0.6508902094495843,target,,26.73589059114456
fixed,2026-09-16T14:00:12.988675+00:00,2026-09-16T14:03:25.784303+00:00,8820,8823,prior_1h,2390.78,2392.18,2386.63,2387.0410714285717,5.138928571428096,0.21482198544541367,-0.35200595272929724,-1.6385937035236235,0.558602043227517,stop,,3.2132604757944745
fixed,2026-09-17T21:53:58.170347+00:00,2026-09-17T22:08:43.739541+00:00,10602,10616,prior_1h,2446.92,2447.53,2443.54,2444.2235714285716,3.306428571428569,0.13509246348067516,-0.2830214951400033,-2.095020609202925,0.888280492546987,stop,,14.759486552079519
fixed,2026-09-18T04:32:41.787576+00:00,2026-09-18T04:56:56.280417+00:00,10981,11004,prior_1h,2469.09,2469.53,2479.88,2465.5553571428572,3.9746428571429533,0.16094734047138334,0.2991080893935162,1.8584220684696957,0.7455854793781831,target,,24.241547354062398
fixed,2026-09-18T12:12:41.606386+00:00,2026-09-18T13:39:53.792667+00:00,11415,11497,prior_1h,2498.8,2501.08,2526.04,2494.823928571429,6.256071428570976,0.2501347989097101,0.8779688774449436,3.5099829422848976,0.4797413255694814,target,,87.2031046907107
fixed,2026-09-19T11:12:42.950188+00:00,2026-09-19T13:28:37.736966+00:00,12695,12822,prior_1h,2637.97,2638.5,2633.18,2633.730714285714,4.76928571428607,0.18075746500989465,-0.3216297138525691,-1.7793440167739019,0.6638729968548254,stop,,135.91311296224595
fixed,2026-09-19T15:30:24.059253+00:00,2026-09-19T15:41:57.205000+00:00,12937,12948,prior_1h,2636.23,2636.72,2646.8,2633.727142857143,2.992857142856792,0.11350682449622229,0.2622931520980788,2.310813937947893,1.0572051551313886,target,,11.552429107824961
fixed,2026-09-19T19:58:50.673825+00:00,2026-09-19T20:22:41.465892+00:00,13194,13217,prior_1h,2632.28,2631.6,2636.66,2629.249285714286,2.3507142857138206,0.08932642824569922,0.07227846177229946,0.8091498024917811,1.3433874202372755,target,,23.84653444290161
fixed,2026-09-20T00:01:29.431894+00:00,2026-09-20T01:03:42.639336+00:00,13428,13488,prior_1h,2627.92,2628.14,2624.11,2624.6603571428573,3.4796428571426077,0.13239944817028804,-0.2733403852153947,-2.064513024735782,0.9063481884430495,stop,,62.22012402613958
fixed,2026-09-20T04:44:57.598944+00:00,2026-09-20T06:11:24.054878+00:00,13701,13784,prior_1h,2578.82,2579.79,2573.54,2573.67,6.119999999999891,0.23722861163117506,-0.36226778148609406,-1.5270830065359746,0.5058411764705971,stop,,86.44093223412831
fixed,2026-09-20T08:48:43.038332+00:00,2026-09-20T09:22:02.112291+00:00,13935,13967,prior_1h,2570.66,2571.08,2578.32,2567.885714285714,3.1942857142857974,0.12423906351750227,0.16159372714968712,1.3006676207513819,0.9658797853309229,target,,33.317899310588835
fixed,2026-09-20T14:24:59.366795+00:00,2026-09-20T14:56:13.360197+00:00,14258,14288,prior_1h,2575.9,2577.63,2586.92,2573.5582142857143,4.071785714285852,0.15796626025790558,0.2404085923891276,1.5218983597929403,0.7596558898341994,target,,31.23322337071101
fixed,2026-09-20T18:52:29.744630+00:00,2026-09-20T19:40:38.956632+00:00,14514,14560,prior_1h,2621.7,2621.47,2635.08,2615.0775,6.392499999999927,0.24385173204346905,0.3991743563725648,1.6369551818537733,0.49210230739147987,target,,48.153533363342284
fixed,2026-09-21T01:28:15.505287+00:00,2026-09-21T01:51:37.237366+00:00,14891,14913,prior_1h,2673.49,2672.77,2655.99,2667.388571428571,5.381428571428842,0.20134274821360768,-0.7478130927839021,-3.7141297584283084,0.5959986195911566,stop,,23.36220131715139
fixed,2026-09-21T06:38:49.192281+00:00,2026-09-21T06:40:56.384083+00:00,15184,15186,prior_1h,2662.76,2661.62,2657.8,2658.486428571429,3.133571428571031,0.11773173588156954,-0.2635216146557283,-2.238322680647558,1.0192663779349367,stop,,2.1198633790016173
price_trail,2026-09-08T17:40:39.338651+00:00,2026-09-08T17:59:05.294761+00:00,925,943,prior_1h,2489.25,2488.87,2487.33,2485.175,3.694999999999709,0.1484609481411126,-0.18187546959061096,-1.2250728010826306,0.8082933694181962,stop,,18.432601837317147
