event_id,symbol,side,threshold,horizon,day,net,quality,beta_samples,beta,btc_directional_gross,residual_after_signal_cost
SOLUSDT:long:70:1788612497.930339,SOLUSDT,long,70,30,2026-09-05,0.025730107840269523,True,96,1.001758434077541,-0.07277664221120306,0.09863472297918577
SOLUSDT:long:70:1788450106.148623,SOLUSDT,long,70,60,2026-09-03,-0.4260736489717719,True,47,1.4651342122110438,-0.16583809407295647,-0.18309858365760986
SOLUSDT:long:70:1788593624.828119,SOLUSDT,long,70,60,2026-09-05,-0.39335741481987474,True,96,1.2618765752350025,-0.13593010456451893,-0.2218304000006638
SOLUSDT:long:70:1788612497.930339,SOLUSDT,long,70,60,2026-09-05,-0.12,True,96,1.001758434077541,-0.05884869861561004,-0.06104781982732533
SOLUSDT:long:70:1788450106.148623,SOLUSDT,long,70,240,2026-09-03,0.7025729316116759,True,47,1.4651342122110438,0.7872984331883659,-0.4509249380727497
SOLUSDT:long:70:1788593624.828119,SOLUSDT,long,70,240,2026-09-05,-0.33478082592991665,True,96,1.2618765752350025,-0.09212622045278174,-0.2185289063756156
SOLUSDT:long:70:1788612497.930339,SOLUSDT,long,70,240,2026-09-05,0.10345283202174216,True,96,1.001758434077541,0.29512183186337637,-0.1921879521278091
SOLUSDT:long:80:1788593624.828119,SOLUSDT,long,80,15,2026-09-05,-0.3250180611149144,True,96,1.2618765752350025,0.039034406758586826,-0.37427466463176995
SOLUSDT:long:80:1788612497.930339,SOLUSDT,long,80,15,2026-09-05,0.0743068104536927,True,96,1.001758434077541,-0.057844882860969005,0.1322534097278958
SOLUSDT:long:80:1788593624.828119,SOLUSDT,long,80,30,2026-09-05,-0.354306355559899,True,96,1.2618765752350025,-0.04167017055901612,-0.3017237434454293
SOLUSDT:long:80:1788612497.930339,SOLUSDT,long,80,30,2026-09-05,0.025730107840269523,True,96,1.001758434077541,-0.07277664221120306,0.09863472297918577
SOLUSDT:long:80:1788593624.828119,SOLUSDT,long,80,60,2026-09-05,-0.39335741481987474,True,96,1.2618765752350025,-0.13593010456451893,-0.2218304000006638
SOLUSDT:long:80:1788612497.930339,SOLUSDT,long,80,60,2026-09-05,-0.12,True,96,1.001758434077541,-0.05884869861561004,-0.06104781982732533
SOLUSDT:long:80:1788593624.828119,SOLUSDT,long,80,240,2026-09-05,-0.33478082592991665,True,96,1.2618765752350025,-0.09212622045278174,-0.2185289063756156
SOLUSDT:long:80:1788612497.930339,SOLUSDT,long,80,240,2026-09-05,0.10345283202174216,True,96,1.001758434077541,0.29512183186337637,-0.1921879521278091
SOLUSDT:short:50:1788429331.976012,SOLUSDT,short,50,15,2026-09-03,-0.050104842735889554,True,24,,-0.014948993004915145,
SOLUSDT:short:50:1788477611.751687,SOLUSDT,short,50,15,2026-09-03,-0.18734654608429036,True,78,1.3135353446622082,0.036954550829748634,-0.2358876547452813
SOLUSDT:short:50:1788501265.112018,SOLUSDT,short,50,15,2026-09-04,-0.5262288422477911,True,96,1.2988999625983728,-0.18644229258448775,-0.28405895538304504
SOLUSDT:short:50:1788525454.315506,SOLUSDT,short,50,15,2026-09-04,-0.6144620253164667,True,96,1.2586479813873492,-0.0786656295389987,-0.5154496894926409
SOLUSDT:short:50:1788544247.371951,SOLUSDT,short,50,15,2026-09-04,-0.47601265822784444,True,96,1.188751532835726,-0.1451601734871799,-0.3034532794882594
SOLUSDT:short:50:1788584770.719769,SOLUSDT,short,50,15,2026-09-05,-0.257890278735342,True,96,1.2674821247528092,-0.09681309910187785,-0.13518140618178956
SOLUSDT:short:50:1788607728.908797,SOLUSDT,short,50,15,2026-09-05,-0.10044009779951668,True,96,1.26650271766031,-0.0038952993788754497,-0.09550669055007041
SOLUSDT:short:50:1788647148.882851,SOLUSDT,short,50,15,2026-09-05,0.0057253384913004135,True,96,1.5278411588233727,0.05012380580032838,-0.07085587504731099
SOLUSDT:short:50:1788704520.391703,SOLUSDT,short,50,15,2026-09-06,-0.16725451280596093,True,96,2.5267146634563638,0.05401433264036193,-0.3037333191251731
SOLUSDT:short:50:1788429331.976012,SOLUSDT,short,50,30,2026-09-03,-0.07007488766848302,True,24,,0.020877041955114084,
SOLUSDT:short:50:1788477611.751687,SOLUSDT,short,50,30,2026-09-03,-0.12,True,78,1.3135353446622082,-0.04828727975088043,-0.056572951349626796
SOLUSDT:short:50:1788501265.112018,SOLUSDT,short,50,30,2026-09-04,-0.29409807524904064,True,96,1.2988999625983728,0.02523837271881657,-0.32688019662955525
SOLUSDT:short:50:1788525454.315506,SOLUSDT,short,50,30,2026-09-04,-0.33756329113924444,True,96,1.2586479813873492,0.2938947919577273,-0.7074733777770928
