event_id,symbol,side,threshold,score,entry_ts,entry_utc,day,entry_price,source_payload_sha256,horizon,net,exit_ts,holding_minutes,max_gap,mfe,mae,quality,return_1m_pct,return_5m_pct,return_15m_pct,return_1h_pct,return_4h_pct,delta_norm_1m,delta_norm_5m,delta_norm_15m,oi_change_5m_pct,efficiency_1h,efficiency_4h
BTCUSDT:long:50:1788686995.410030,BTCUSDT,long,50,58,1788686995.4100301,2026-09-06T09:29:55.410030+00:00,2026-09-06,79952.2,89edadb7ee4d438f8d0df823da01be56dafeeacea2ab88c4f4ee0722b97d6abf,240,-0.37627812618038703,1788701440.5211377,240.75185179313024,61.68413329124451,0.03477077553839525,-0.25627812618038703,True,,0.03453254692546981,0.08361978534250358,0.2458746102178999,0.17817316125798843,0.877055936572684,0.5587050876477371,0.33194556546192217,0.019591701656773708,0.3226921178212806,0.04253918870407839
BTCUSDT:long:50:1788718896.157697,BTCUSDT,long,50,58,1788718896.1576972,2026-09-06T18:21:36.157697+00:00,2026-09-06,79859.6,07783afc788b941b3e33d8270e860f2f78e16f6943ea6fb348657956208cb9bc,240,-0.37983100341098186,1788733328.597467,240.5406628290812,62.00113320350647,0.1749320056699366,-0.3191851699733128,True,,0.04234220014081025,0.11696668894007889,0.2438953973687541,0.3154185796742981,0.65006478136908,0.40183465350342856,0.2129885159383109,0.038335571352332565,0.25408656989671563,0.05379984145009063
BTCUSDT:long:50:1788736168.197905,BTCUSDT,long,50,52,1788736168.1979046,2026-09-06T23:09:28.197905+00:00,2026-09-06,80144.6,d2a71fc1e543584769a0efb3ee59f784771f05ee5395616f68d280d52f409112,240,,,,,,,False,,-0.09361790183707308,0.1959046305753942,0.6082091285348534,0.3888058000205641,0.3334155704108946,0.04159966896192421,0.27009717766224295,-0.039994631632778166,0.31706040180616935,0.07905863175589799
BTCUSDT:long:60:1788440586.051896,BTCUSDT,long,60,65,1788440586.051896,2026-09-03T13:03:06.051896+00:00,2026-09-03,78622.4,3a64b16bf120ba9cae0fb17ba608eeb585f97fa2533fe899576dcf7b895475dc,15,-0.339403121756645,1788441496.7129288,15.177683877944947,60.770556688308716,0.001017521724100412,-0.219403121756645,True,,-0.12715551462416652,0.3433163079075152,0.9248811646442423,1.090593024421982,0.15132337437324575,-0.21987603097271619,0.302090087140736,-0.13444535146680536,0.27562067250679256,0.12342122111634679
BTCUSDT:long:60:1788459037.146044,BTCUSDT,long,60,62,1788459037.1460435,2026-09-03T18:10:37.146044+00:00,2026-09-03,81233.5,42b1443a073320a463d916cf18ed88329a5d935e4ace91aec93186527deb2247,15,-0.4539755150276735,1788459962.5208716,15.422913801670074,61.82240390777588,0.012187090301418735,-0.33397551502767353,True,,0.06750539242437181,0.30845713396647767,0.33930838895832593,3.088067147122908,0.503747366399801,0.28607627709834055,0.22670009092028917,0.08171105356353792,0.16272732658018363,0.20150378430301097
BTCUSDT:long:60:1788521248.493106,BTCUSDT,long,60,62,1788521248.493106,2026-09-04T11:27:28.493106+00:00,2026-09-04,81302.9,f391ba7ab5b6c3c80bc3213a95fed60c2bd0a2bfbf0b98130e70ba82699bef7a,15,-0.23574002895344826,1788522187.9006004,15.656791575749715,62.72344899177551,0.08339185933097237,-0.12619476058048917,True,,0.0908541397109941,0.2300400782579981,0.544752567324247,0.5532084357793288,0.7040743843101255,0.4667523915618335,0.1921436939384547,0.16720392914115756,0.28613186099382915,0.06658925461122639
BTCUSDT:long:60:1788549899.506735,BTCUSDT,long,60,65,1788549899.506735,2026-09-04T19:24:59.506735+00:00,2026-09-04,79758,51e301e95897615489fd898ac0c7732edae4fc86e46d89b7979e84521c552ec1,15,-0.26218009478672577,1788550840.4006536,15.681565308570862,62.86910700798035,0.022317510469171964,-0.18756739135886713,True,,0.00514081443039327,0.12955904728904066,0.2740759366356649,0.5804708081066812,0.12888971584136658,-0.05169530869224737,0.24740188355649873,-0.05057163641588591,0.22932884494003647,0.09072989967082726
BTCUSDT:long:60:1788626092.492374,BTCUSDT,long,60,62,1788626092.4923737,2026-09-05T16:34:52.492374+00:00,2026-09-05,79940.8,be8c32527e3c311341ed4dcd81f02d8c44f4cbaf13fdad3dd1451b7674a3c479,15,-0.09998518903989939,1788627007.5312347,15.250647683938345,61.121010065078735,0.020014810960100604,-0.06429758020936038,True,,0.08300521443014297,0.16740344229593251,0.34078371468055924,0.38223726838482186,0.7387946068577513,0.40347010849329573,0.3826220180154241,0.1026884728523525,0.3177296664716208,0.09469296335469632
BTCUSDT:long:60:1788691726.477256,BTCUSDT,long,60,69,1788691726.4772556,2026-09-06T10:48:46.477256+00:00,2026-09-06,79946.6,327b13112dd4eb6743b29ef930f6215b14a6ef941bb9f5bb3fd5c26a31dd5711,15,-0.10286356142724873,1788692648.6096122,15.368872610727946,61.61127233505249,0.03427287714548033,-0.006379258154820544,True,,-0.041760440110016894,-0.0005003314695883887,0.14844396897835122,0.3026143774449652,-0.5832615572874855,-0.6287288840161561,0.4884025607651708,-0.015246987390038491,0.25610546790578015,0.08850726552179951
BTCUSDT:long:60:1788719759.288359,BTCUSDT,long,60,62,1788719759.2883587,2026-09-06T18:35:59.288359+00:00,2026-09-06,79917.8,4a14c0b6c927316bf0398dd76be4a1016f46f18d8d22f56f8664314cfb0390c9,15,-0.13238772839092794,1788720684.8737462,15.4264231244723,61.89634394645691,0.012387728390916841,-0.0426688422354049,True,,0.02728547111245927,0.07287790071575095,0.30133901957511977,0.48230823972581494,0.7217944550768325,0.4213422569516777,0.26179862563090345,0.15617858358936143,0.3404225152417831,0.08870184525736786
BTCUSDT:long:60:1788736600.471488,BTCUSDT,long,60,71,1788736600.4714878,2026-09-06T23:16:40.471488+00:00,2026-09-06,80120.8,e20b10408aee3bb41d999abc78d2a95072f61fe489c755894c0ae9e53a4a8d1a,15,-0.11787820391210502,1788737527.7144525,15.454049412409464,61.911033153533936,0.16013319886971633,-0.07114257471217966,True,,-0.039424895573925145,0.07406806017873357,0.5519509042306137,0.3617596953602531,-0.12442067178135657,-0.19814688190621826,0.3242312279235483,0.07574926801650061,0.3131140538231695,0.07195176640590031
BTCUSDT:long:60:1788440586.051896,BTCUSDT,long,60,65,1788440586.051896,2026-09-03T13:03:06.051896+00:00,2026-09-03,78622.4,3a64b16bf120ba9cae0fb17ba608eeb585f97fa2533fe899576dcf7b895475dc,30,-0.19402470542745565,1788442407.0880842,30.35060313542684,60.770556688308716,0.001017521724100412,-0.2698976373145534,True,,-0.12715551462416652,0.3433163079075152,0.9248811646442423,1.090593024421982,0.15132337437324575,-0.21987603097271619,0.302090087140736,-0.13444535146680536,0.27562067250679256,0.12342122111634679
BTCUSDT:long:60:1788459037.146044,BTCUSDT,long,60,62,1788459037.1460435,2026-09-03T18:10:37.146044+00:00,2026-09-03,81233.5,42b1443a073320a463d916cf18ed88329a5d935e4ace91aec93186527deb2247,30,-0.4202455883348576,1788460888.1491547,30.850051852067313,61.97655534744263,0.012187090301418735,-0.4572005391864087,True,,0.06750539242437181,0.30845713396647767,0.33930838895832593,3.088067147122908,0.503747366399801,0.28607627709834055,0.22670009092028917,0.08171105356353792,0.16272732658018363,0.20150378430301097
