symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
BTCUSDT,short,80,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,short,80,no_delta_oi,240,0,0,0,,0,,,,
BTCUSDT,short,90,full,15,0,0,0,,0,,,,
BTCUSDT,short,90,full,30,0,0,0,,0,,,,
BTCUSDT,short,90,full,60,0,0,0,,0,,,,
BTCUSDT,short,90,full,240,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta,15,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta,30,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta,60,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta,240,0,0,0,,0,,,,
BTCUSDT,short,90,no_oi,15,0,0,0,,0,,,,
BTCUSDT,short,90,no_oi,30,0,0,0,,0,,,,
BTCUSDT,short,90,no_oi,60,0,0,0,,0,,,,
BTCUSDT,short,90,no_oi,240,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta_oi,15,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta_oi,30,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta_oi,60,0,0,0,,0,,,,
BTCUSDT,short,90,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,long,50,full,15,13,0,13,-0.11533109649473287,13,-0.11533109649473287,-0.11640194295080775,0.15384615384615385,0.13115611819658093
ETHUSDT,long,50,full,30,13,0,13,-0.12627941020850272,13,-0.12627941020850272,-0.09321446418934165,0.23076923076923078,0.2162680637919638
ETHUSDT,long,50,full,60,13,0,13,-0.14033706421402492,13,-0.14033706421402492,-0.15877905930796954,0.38461538461538464,0.4609054797967653
ETHUSDT,long,50,full,240,13,0,13,0.018120616793970257,13,0.018120616793970257,-0.1554484225451923,0.46153846153846156,1.0416190973118773
ETHUSDT,long,50,no_delta,15,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta,30,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta,60,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta,240,0,0,0,,0,,,,
ETHUSDT,long,50,no_oi,15,12,0,12,-0.09203596242380623,12,-0.09203596242380623,-0.11329142943556014,0.3333333333333333,0.4037565841162693
ETHUSDT,long,50,no_oi,30,12,0,12,-0.10808671153888993,12,-0.10808671153888993,-0.22831195315068598,0.3333333333333333,0.5147446564911065
ETHUSDT,long,50,no_oi,60,12,0,12,0.013356372308054032,12,0.013356372308054032,-0.22201223074749465,0.3333333333333333,1.050427806015383
ETHUSDT,long,50,no_oi,240,12,0,12,-0.05529447603566137,12,-0.05529447603566137,-0.23637811649471974,0.4166666666666667,0.8753650686886706
ETHUSDT,long,50,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,long,50,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,long,60,full,15,8,0,8,-0.03412276277210902,8,-0.03412276277210902,-0.032135405674618034,0.5,0.7464545513464144
ETHUSDT,long,60,full,30,8,0,8,-0.07709118504217949,8,-0.07709118504217949,-0.2890973160000331,0.375,0.6781624132090233
ETHUSDT,long,60,full,60,8,0,8,0.09334370329828959,8,0.09334370329828959,-0.24450318412977057,0.375,1.3767441121331756
ETHUSDT,long,60,full,240,8,0,7,0.019805201184333408,8,0.06624858359145147,0.24467015300302164,0.625,1.1478551878278425
ETHUSDT,long,60,no_delta,15,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta,30,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta,60,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta,240,0,0,0,,0,,,,
ETHUSDT,long,60,no_oi,15,4,0,4,0.19577108601876514,4,0.19577108601876514,0.15242615980763718,0.5,4.4131769478455025
ETHUSDT,long,60,no_oi,30,4,0,4,0.2637211645669219,4,0.2637211645669219,0.019468477875809298,0.5,2.8163481220253272
ETHUSDT,long,60,no_oi,60,4,0,4,0.18265649155284955,4,0.18265649155284955,-0.05398970304394057,0.5,1.8980555841631288
ETHUSDT,long,60,no_oi,240,4,0,3,0.7229307849210734,4,0.6400361538011246,0.3763427647448504,1.0,
ETHUSDT,long,60,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,long,60,no_delta_oi,240,0,0,0,,0,,,,
