policy,threshold,level_type,period,recorded,evaluated,excluded,mean_pct,median_pct,win_rate,profit_factor,sum_equal_notional_pct,avg_mae_pct,avg_mfe_pct,contributing_days,best_day,mean_without_best_day_pct
score_context_available,60,prior_4h,first_half,7,7,0,0.016504281070521615,-0.023605319090105215,0.42857142857142855,1.1124173505230728,0.1155299674936513,-0.3449862884962581,0.5201264038826624,6,2026-09-13,-0.08748313309633722
score_context_available,60,prior_4h,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_plus_level,60,prior_4h,all,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_4h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_4h,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,60,prior_4h,all,14,14,0,0.17331476163123036,0.018467949882759016,0.5,1.8455940528328838,2.426406662837225,-0.4303912606568824,0.868760711985274,9,2026-09-21,0.055323370817899904
score_rejected_by_level,60,prior_4h,first_half,7,7,0,0.016504281070521615,-0.023605319090105215,0.42857142857142855,1.1124173505230728,0.1155299674936513,-0.3449862884962581,0.5201264038826624,6,2026-09-13,-0.08748313309633722
score_rejected_by_level,60,prior_4h,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_context_available,60,any,all,11,11,0,0.2652542896936847,0.06054121885562325,0.5454545454545454,2.5072579682098666,2.9177971866305317,-0.35658248703404466,0.994584646829228,7,2026-09-21,0.12836344151201173
score_context_available,60,any,first_half,4,4,0,0.15173012282173948,0.018467949882759016,0.5,7.453203178402183,0.6069204912869579,-0.07795843191298613,0.6046664936265767,4,2026-09-13,-0.011169424928238914
score_context_available,60,any,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_plus_level,60,any,all,0,0,0,,,,,0,,,0,,
score_plus_level,60,any,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,60,any,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,60,any,all,11,11,0,0.2652542896936847,0.06054121885562325,0.5454545454545454,2.5072579682098666,2.9177971866305317,-0.35658248703404466,0.994584646829228,7,2026-09-21,0.12836344151201173
score_rejected_by_level,60,any,first_half,4,4,0,0.15173012282173948,0.018467949882759016,0.5,7.453203178402183,0.6069204912869579,-0.07795843191298613,0.6046664936265767,4,2026-09-13,-0.011169424928238914
score_rejected_by_level,60,any,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_only,70,none,all,0,0,0,,,,,0,,,0,,
score_only,70,none,first_half,0,0,0,,,,,0,,,0,,
score_only,70,none,second_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_day,all,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_day,first_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_day,second_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_day,all,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_day,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_day,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_day,all,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_day,first_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_day,second_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_1h,all,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_1h,first_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_1h,second_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_1h,all,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_1h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_1h,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_1h,all,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_1h,first_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_1h,second_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_4h,all,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_4h,first_half,0,0,0,,,,,0,,,0,,
score_context_available,70,prior_4h,second_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_4h,all,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_4h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,prior_4h,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_4h,all,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_4h,first_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,prior_4h,second_half,0,0,0,,,,,0,,,0,,
score_context_available,70,any,all,0,0,0,,,,,0,,,0,,
score_context_available,70,any,first_half,0,0,0,,,,,0,,,0,,
score_context_available,70,any,second_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,any,all,0,0,0,,,,,0,,,0,,
score_plus_level,70,any,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,70,any,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,any,all,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,any,first_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,70,any,second_half,0,0,0,,,,,0,,,0,,
price_level_only,,prior_day,all,2,2,0,-0.5405710370587591,-0.5405710370587591,0.5,0.2832900214787982,-1.0811420741175182,-0.7159657165636824,0.6550599629310039,2,2026-09-10,-1.5084791708192125
price_level_only,,prior_day,first_half,2,2,0,-0.5405710370587591,-0.5405710370587591,0.5,0.2832900214787982,-1.0811420741175182,-0.7159657165636824,0.6550599629310039,2,2026-09-10,-1.5084791708192125
price_level_only,,prior_day,second_half,0,0,0,,,,,0,,,0,,
price_level_only,,prior_1h,all,5,5,0,1.0232052225580102,0.4170098832669923,0.8,51.055397652732495,5.116026112790051,-0.32423658290511526,1.329411025390077,4,2026-09-18,0.21912753658370174
price_level_only,,prior_1h,first_half,1,1,0,0.34258000787029463,0.34258000787029463,1.0,,0.34258000787029463,-0.18792312819732038,0.7874300307583404,1,2026-09-09,
price_level_only,,prior_1h,second_half,4,4,0,1.193361526229939,0.5792273824748763,0.75,47.703581586165924,4.773446104919756,-0.358314946582064,1.4649062740480112,3,2026-09-18,0.15740130094040528
price_level_only,,prior_4h,all,0,0,0,,,,,0,,,0,,
price_level_only,,prior_4h,first_half,0,0,0,,,,,0,,,0,,
price_level_only,,prior_4h,second_half,0,0,0,,,,,0,,,0,,
price_level_only,,any,all,7,7,0,0.5764120055246476,0.4170098832669923,0.7142857142857143,3.505071072739119,4.0348840386725335,-0.4361591925218487,1.1367392932589133,6,2026-09-18,-0.08475189287328258
price_level_only,,any,first_half,3,3,0,-0.24618735541574113,0.34258000787029463,0.6666666666666666,0.5103929304863181,-0.7385620662472234,-0.5399515204415617,0.6991833188734494,3,2026-09-10,-0.582949581474459
price_level_only,,any,second_half,4,4,0,1.193361526229939,0.5792273824748763,0.75,47.703581586165924,4.773446104919756,-0.358314946582064,1.4649062740480112,3,2026-09-18,0.15740130094040528
